fromEventId,fromEventStartDate,fromTrackName,fromCountry,toEventId,toEventStartDate,toTrackName,toCountry,greatCircleMiles,greatCircleConfidence,travelModeProxy,routeFactorLow,routeFactorBase,routeFactorHigh,routeAdjustedLowMiles,routeAdjustedBaseMiles,routeAdjustedHighMiles,routeAdjustedConfidence,actualTravelConfidence
event_indy_nxt_2024_5472,2024-06-07,Road America,United States,event_indy_nxt_2024_5473,2024-06-21,WeatherTech Raceway Laguna Seca,United States,1836.4,observed_exact,flight_proxy,1.03,1.08,1.15,1891.5,1983.3,2111.8,modeled_range,unknown
event_indy_nxt_2024_5473,2024-06-21,WeatherTech Raceway Laguna Seca,United States,event_indy_nxt_2024_5483,2024-06-22,WeatherTech Raceway Laguna Seca,United States,0.0,observed_exact,same_venue,1.0,1.0,1.0,0.0,0.0,0.0,modeled_range,unknown
event_indy_nxt_2024_5483,2024-06-22,WeatherTech Raceway Laguna Seca,United States,event_indy_nxt_2024_5474,2024-07-05,Mid-Ohio Sports Car Course,United States,2112.6,observed_exact,flight_proxy,1.03,1.08,1.15,2176.0,2281.6,2429.5,modeled_range,unknown
event_indy_nxt_2024_5474,2024-07-05,Mid-Ohio Sports Car Course,United States,event_indy_nxt_2024_5475,2024-07-12,Iowa Speedway,United States,543.7,observed_exact,drive_proxy,1.12,1.18,1.28,608.9,641.5,695.9,modeled_range,unknown
event_indy_nxt_2024_5475,2024-07-12,Iowa Speedway,United States,event_indy_nxt_2024_5476,2024-08-16,World Wide Technology Raceway,United States,258.5,observed_exact,drive_proxy,1.12,1.18,1.28,289.6,305.1,330.9,modeled_range,unknown
event_indy_nxt_2024_5476,2024-08-16,World Wide Technology Raceway,United States,event_indy_nxt_2024_5477,2024-08-23,Portland International Raceway,United States,1722.9,observed_exact,flight_proxy,1.03,1.08,1.15,1774.6,1860.7,1981.3,modeled_range,unknown
event_indy_nxt_2024_5477,2024-08-23,Portland International Raceway,United States,event_indy_nxt_2024_5478,2024-08-30,The Milwaukee Mile,United States,1710.6,observed_exact,flight_proxy,1.03,1.08,1.15,1761.9,1847.5,1967.2,modeled_range,unknown
event_indy_nxt_2024_5478,2024-08-30,The Milwaukee Mile,United States,event_indy_nxt_2024_5479,2024-09-14,Nashville Superspeedway,United States,489.3,observed_exact,drive_proxy,1.12,1.18,1.28,548.0,577.4,626.3,modeled_range,unknown
event_indy_nxt_2024_5479,2024-09-14,Nashville Superspeedway,United States,event_imsa_2025_daytona_rolex_24,2025-01-25,Daytona International Speedway,United States,566.7,observed_exact,drive_proxy,1.12,1.18,1.28,634.7,668.7,725.3,modeled_range,unknown
event_imsa_2025_daytona_rolex_24,2025-01-25,Daytona International Speedway,United States,event_indy_nxt_2025_5488,2025-02-28,Streets of St. Petersburg,United States,136.3,observed_exact,drive_proxy,1.12,1.18,1.28,152.7,160.9,174.5,modeled_range,unknown
event_indy_nxt_2025_5488,2025-02-28,Streets of St. Petersburg,United States,event_indy_nxt_2025_5487,2025-05-02,Barber Motorsports Park,United States,463.4,observed_exact,drive_proxy,1.12,1.18,1.28,519.0,546.8,593.1,modeled_range,unknown
event_indy_nxt_2025_5487,2025-05-02,Barber Motorsports Park,United States,event_indy_nxt_2025_5485,2025-05-09,Indianapolis Motor Speedway Road Course,United States,433.1,observed_exact,drive_proxy,1.12,1.18,1.28,485.1,511.1,554.4,modeled_range,unknown
event_indy_nxt_2025_5485,2025-05-09,Indianapolis Motor Speedway Road Course,United States,event_indy_nxt_2025_5486,2025-05-09,Indianapolis Motor Speedway Road Course,United States,0.0,observed_exact,same_venue,1.0,1.0,1.0,0.0,0.0,0.0,modeled_range,unknown
event_indy_nxt_2025_5486,2025-05-09,Indianapolis Motor Speedway Road Course,United States,event_indy_nxt_2025_5497,2025-05-30,Detroit Downtown Street Circuit,United States,241.6,observed_exact,drive_proxy,1.12,1.18,1.28,270.6,285.1,309.3,modeled_range,unknown
event_indy_nxt_2025_5497,2025-05-30,Detroit Downtown Street Circuit,United States,event_indy_nxt_2025_5496,2025-06-14,World Wide Technology Raceway,United States,451.0,observed_exact,drive_proxy,1.12,1.18,1.28,505.1,532.1,577.2,modeled_range,unknown
event_indy_nxt_2025_5496,2025-06-14,World Wide Technology Raceway,United States,event_indy_nxt_2025_5495,2025-06-20,Road America,United States,372.6,observed_exact,drive_proxy,1.12,1.18,1.28,417.3,439.7,477.0,modeled_range,unknown
event_indy_nxt_2025_5495,2025-06-20,Road America,United States,event_indy_nxt_2025_5494,2025-07-04,Mid-Ohio Sports Car Course,United States,347.9,observed_exact,drive_proxy,1.12,1.18,1.28,389.6,410.5,445.3,modeled_range,unknown
event_indy_nxt_2025_5494,2025-07-04,Mid-Ohio Sports Car Course,United States,event_indy_nxt_2025_5493,2025-07-11,Iowa Speedway,United States,543.7,observed_exact,drive_proxy,1.12,1.18,1.28,608.9,641.5,695.9,modeled_range,unknown
event_indy_nxt_2025_5493,2025-07-11,Iowa Speedway,United States,event_indy_nxt_2025_5484,2025-07-25,WeatherTech Raceway Laguna Seca,United States,1572.2,observed_exact,flight_proxy,1.03,1.08,1.15,1619.3,1697.9,1808.0,modeled_range,unknown
