sessionId,eventId,seasonYear,eventName,trackName,trackType,sessionType,sessionName,bryceLapCount,bryceSectionObservations,comparisonRows,medianTrackSectionPercentile,topQuartileTrackSectionShare,bottomQuartileTrackSectionShare,bestSectionFamilies,weakestSectionFamilies,bestLapRank,topSectionBryceRows,sourceState,sourceHash
session_indy_nxt_2025_6612,event_indy_nxt_2025_5487,2025,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 2,21,294,200,0.458,0.115,0.17,Turn 7:0.65 n=20; Turns 12-13:0.56 n=20; Turns 1-3:0.50 n=20; Turns 8-9:0.47 n=20,Turn 17:0.37 n=20; Turns 5-6:0.39 n=20; Turn 10:0.42 n=20; Turns 14-16:0.43 n=20,14,31,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6613,event_indy_nxt_2025_5487,2025,Grand Prix of Alabama,Barber Motorsports Park,road,qualifying,Qualifications - Group 1,8,111,80,0.5556,0.325,0.2,Turns 1-3:0.89 n=8; Turns 12-13:0.78 n=8; Turn 17:0.72 n=8; Turns 14-16:0.59 n=8,Turns 5-6:0.33 n=8; Turn 4:0.39 n=8; Turns 8-9:0.44 n=8; Turn 10:0.50 n=8,3,28,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6627,event_indy_nxt_2025_5486,2025,Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,road,practice,Practice,21,363,210,0.5,0.2524,0.2619,Turn 12/13:0.80 n=21; Turn 8/9:0.70 n=21; Turn 4/5/6:0.60 n=21; Turn 7:0.60 n=21,Turn 3:0.25 n=21; Backstretch:0.25 n=21; Turn 14:0.27 n=21; Turn 11:0.40 n=21,13,37,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6629,event_indy_nxt_2025_5486,2025,Indianapolis Grand Prix Race 1,Indianapolis Motor Speedway Road Course,road,qualifying,Qualifications - Race 1 Group 2,10,143,100,0.4,0.14,0.28,Turn 4/5/6:0.76 n=10; Turn 8/9:0.59 n=10; Turn 7:0.55 n=10; Turn 12/13:0.50 n=10,Backstretch:0.15 n=10; Turn 3:0.20 n=10; Turn 11:0.35 n=10; Turn 1/2:0.40 n=10,9,33,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6631,event_indy_nxt_2025_5485,2025,Indianapolis Grand Prix Race 2,Indianapolis Motor Speedway Road Course,road,qualifying,Qualifications - Race 2 Group 2,10,143,100,0.4,0.14,0.28,Turn 4/5/6:0.76 n=10; Turn 8/9:0.59 n=10; Turn 7:0.55 n=10; Turn 12/13:0.50 n=10,Backstretch:0.15 n=10; Turn 3:0.20 n=10; Turn 11:0.35 n=10; Turn 1/2:0.40 n=10,9,33,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6639,event_indy_nxt_2025_5497,2025,Detroit Grand Prix,Streets of Detroit,street,practice,Practice 1,17,418,272,0.4667,0.1654,0.2096,I15 to I16:0.67 n=17; I7 to I8:0.62 n=17; I10 to I11:0.62 n=17; I6 to I7:0.60 n=17,I3 to I4:0.21 n=17; I4 to I5:0.21 n=17; I1 to I2A:0.33 n=17; I2 to I3:0.33 n=17,13,37,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6640,event_indy_nxt_2025_5497,2025,Detroit Grand Prix,Streets of Detroit,street,practice,Practice 2,21,537,336,0.3717,0.0774,0.3214,Back Str 2:0.63 n=21; I15 to I16:0.62 n=21; I8 to I9:0.53 n=21; I10 to I11:0.53 n=21,I4 to I5:0.11 n=21; I3 to I4:0.16 n=21; I2 to I3:0.29 n=21; I1 to I2A:0.37 n=21,17,37,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6642,event_indy_nxt_2025_5497,2025,Detroit Grand Prix,Streets of Detroit,street,qualifying,Qualifications - Group 2,6,137,94,0.375,0.2021,0.383,,,8,37,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6667,event_indy_nxt_2025_5496,2025,INDY NXT by Firestone at World Wide Technology Raceway,World Wide Technology Raceway,oval,practice,Practice,46,496,248,0.3604,0.0121,0.3185,Turn 4:0.47 n=41; Turn 3:0.47 n=41; Turn 2:0.36 n=41; Turn 1:0.33 n=41,BS - T2:0.28 n=42; BS - T3:0.29 n=42; Turn 1:0.33 n=41; Turn 2:0.36 n=41,17,26,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_indy_nxt_2025_6675,event_indy_nxt_2025_5495,2025,Grand Prix at Road America,Road America,road,practice,Practice 1,14,394,260,0.5941,0.2808,0.1269,I3A to I4:0.83 n=13; I4 to I4A:0.80 n=13; I6 to I7:0.78 n=13; I14 to I15C:0.72 n=13,I13A to I14:0.33 n=13; I9 to I10:0.39 n=13; I8 to I9:0.43 n=13; I1 to I2:0.44 n=13,9,49,official_section_results+official_top_section_times,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
