sessionId,eventId,seasonYear,eventName,trackName,trackType,sessionType,sessionName,sectionName,sectionType,rank,fieldSize,percentile,time,timeSeconds,speedMph,lapNumber,sourceState,sourceMetricId,sourceHash
session_indy_nxt_2024_6355,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 2,PI to SFP,pit_or_timing_line,4,20,0.8421,00:59.2547,59.2547,9.619,23,official_top_section_times,metric_indy_nxt_2024_6355_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6355,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 2,SFP to PO,pit_or_timing_line,11,21,0.5,00:08.9577,8.9577,33.948,23,official_top_section_times,metric_indy_nxt_2024_6355_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6355,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 2,PIC to PI,pit_or_timing_line,4,21,0.85,00:09.4807,9.4807,50.701,13,official_top_section_times,metric_indy_nxt_2024_6355_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6355,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 2,PI to PO,pit_or_timing_line,3,20,0.8947,01:08.2124,68.2124,12.814,23,official_top_section_times,metric_indy_nxt_2024_6355_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6355,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 2,PO to SF,pit_or_timing_line,19,21,0.1,01:22.3348,82.3348,95.82,24,official_top_section_times,metric_indy_nxt_2024_6355_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6355,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 2,SF to PI,pit_or_timing_line,3,21,0.9,01:12.4266,72.4266,105.53,13,official_top_section_times,metric_indy_nxt_2024_6355_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6355,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 2,PO to I2,pit_or_timing_line,14,21,0.35,00:14.1642,14.1642,71.386,23,official_top_section_times,metric_indy_nxt_2024_6355_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6355,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 2,I7 to PI,pit_or_timing_line,4,21,0.85,00:15.0813,15.0813,72.29,13,official_top_section_times,metric_indy_nxt_2024_6355_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6355,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 2,PO to PI,pit_or_timing_line,8,21,0.65,03:10.6360,190.636,38.358,1,official_top_section_times,metric_indy_nxt_2024_6355_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2024_6355,event_indy_nxt_2024_5470,2024,Grand Prix of Alabama,Barber Motorsports Park,road,practice,Practice 2,SF to Turn 7,pit_or_timing_line,6,21,0.75,00:33.2983,33.2983,112.311,18,official_top_section_times,metric_indy_nxt_2024_6355_top_section_times,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
