sectionFamily,sessionType,trackName,observationRows,medianPercentile,meanPercentile,topQuartileShare,bottomQuartileShare,sourceHash
Turn 4,practice,Portland International Raceway,91,0.5714,0.562,0.2308,0.1209,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 5,practice,Portland International Raceway,91,0.5,0.5254,0.1978,0.1648,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 6,practice,Portland International Raceway,91,0.5333,0.5162,0.1978,0.2198,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 7,practice,Portland International Raceway,91,0.5556,0.55,0.2527,0.1538,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 8,practice,Portland International Raceway,91,0.75,0.642,0.5165,0.1209,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 9,practice,Portland International Raceway,91,0.625,0.5813,0.3626,0.1868,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turns 10/11,practice,Portland International Raceway,94,0.5314,0.5161,0.1915,0.1489,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 1,qualifying,Portland International Raceway,14,0.3125,0.392,0.1429,0.5,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 12,qualifying,Portland International Raceway,14,0.5,0.5431,0.3571,0.2143,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 2,qualifying,Portland International Raceway,14,0.8661,0.7249,0.7143,0.1429,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 3,qualifying,Portland International Raceway,14,0.8125,0.6885,0.5714,0.1429,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 4,qualifying,Portland International Raceway,14,0.375,0.3712,0.1429,0.4286,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 5,qualifying,Portland International Raceway,14,0.4375,0.4045,0.1429,0.4286,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 6,qualifying,Portland International Raceway,14,0.375,0.4005,0.2143,0.4286,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 7,qualifying,Portland International Raceway,14,0.4097,0.4067,0.1429,0.2857,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 8,qualifying,Portland International Raceway,14,0.875,0.8125,0.9286,0.0714,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turn 9,qualifying,Portland International Raceway,14,0.875,0.8632,0.9286,0.0,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
Turns 10/11,qualifying,Portland International Raceway,16,0.6696,0.5843,0.4375,0.1875,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
I1 to I2,practice,Road America,45,0.6111,0.6089,0.4,0.1111,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
I10 to I11 I11 to I11B I11B to I12 I12 to I13 I13 to I13A,practice,Road America,45,0.65,0.6272,0.3556,0.0889,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
I13A to I14 I14 to I15C I15C to I15,practice,Road America,47,0.55,0.5171,0.1489,0.1489,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
