driverId,driverName,nationality,hometown,seriesIds,seasonYears,teamCount,carCount,eventCount,sessionCount,qualifyingRows,resultRows,lapRows,bestObservedFinish,medianObservedFinish,sharedRaceSessionWithBryceCount,sameTeamAsBryceEventCount,cohortLabel,provenanceRefCount,sourceState,sourceHash
driver_richard_mendoza,Richard MENDOZA,,,series_formula_ford,2020,0,1,2,5,0,5,0,12,14.0,2,0,shared_race_field,5,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_rick_morris,Rick MORRIS,,,series_formula_ford,2020,0,2,2,11,0,11,0,1,10.0,3,0,shared_race_field,11,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_rick_payne,Rick Payne,,,series_frp_f1600,2019,0,1,1,4,0,4,0,8,11.0,3,0,shared_race_field,4,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_ricky_taylor,Ricky Taylor,United States,"Lake Mary, FL",series_imsa_weathertech,2025,1,1,1,1,0,1,113,5,5.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_rob_albani,Rob Albani,,,series_frp_f1600,2019,0,2,2,9,0,9,0,8,11.5,6,0,shared_race_field,9,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_robby_foley,Robby Foley,United States,"Randolph, NJ",series_imsa_weathertech,2025,1,1,1,1,0,1,226,30,30.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_robero_faria,Robero Faria,,,series_gb3,2021,1,1,1,6,2,6,0,4,9.0,3,0,shared_race_field,6,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_robert_hall,Robert HALL,,,series_formula_ford,2020,0,1,1,4,0,4,0,5,6.0,1,0,shared_race_field,4,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_roberto_faria,Roberto Faria,,,series_gb3,2021;2022,2,2,14,109,12,109,0,1,7.0,41,0,shared_race_field,109,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
driver_roberto_lacorte,Roberto Lacorte,ITA,"Pisa, Italy",series_imsa_weathertech,2025,1,1,1,1,0,1,140,52,52.0,1,0,shared_race_field,2,canonical_driver_dimension_with_observed_cohort_context,da557a1af2c2d83acf33ad62680a7a78f908f9fa26babf66f711beddd4d5cabc
