sessionId,eventId,eventName,seriesId,seriesName,seasonYear,sessionType,totalContextRows,racecraftCount,penaltyCount,incidentCount,weatherCount,mediaCount,bryceContextCount,wetDryStates,firstLapNumber,lastLapNumber,sourceStateCounts,sourceHash
session_gb3_2021_214105_race_1_result,event_gb3_2021_r7_donington_park,GB3 2021 Round 7 - Donington Park,series_gb3,GB3 Championship,2021,race,3,0,0,0,1,2,0,dry,,,media_narrative_context:2; official_weather_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2021_214105_race_2_result,event_gb3_2021_r7_donington_park,GB3 2021 Round 7 - Donington Park,series_gb3,GB3 Championship,2021,race,3,0,0,0,1,2,0,wet,,,media_narrative_context:2; official_weather_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2021_214105_race_3_result,event_gb3_2021_r7_donington_park,GB3 2021 Round 7 - Donington Park,series_gb3,GB3 Championship,2021,race,3,0,0,0,1,2,0,dry,,,media_narrative_context:2; official_weather_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1082,event_gb3_2022_r2_silverstone,GB3 2022 Round 2 - Silverstone,series_gb3,GB3 Championship,2022,race,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1083,event_gb3_2022_r2_silverstone,GB3 2022 Round 2 - Silverstone,series_gb3,GB3 Championship,2022,race,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1084,event_gb3_2022_r2_silverstone,GB3 2022 Round 2 - Silverstone,series_gb3,GB3 Championship,2022,race,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1085,event_gb3_2022_r3_donington_park,GB3 2022 Round 3 - Donington Park,series_gb3,GB3 Championship,2022,race,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1087,event_gb3_2022_r3_donington_park,GB3 2022 Round 3 - Donington Park,series_gb3,GB3 Championship,2022,race,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1088,event_gb3_2022_r4_snetterton,GB3 2022 Round 4 - Snetterton,series_gb3,GB3 Championship,2022,race,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1089,event_gb3_2022_r4_snetterton,GB3 2022 Round 4 - Snetterton,series_gb3,GB3 Championship,2022,race,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1094,event_gb3_2022_r6_silverstone,GB3 2022 Round 6 - Silverstone,series_gb3,GB3 Championship,2022,race,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1096,event_gb3_2022_r6_silverstone,GB3 2022 Round 6 - Silverstone,series_gb3,GB3 Championship,2022,race,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1097,event_gb3_2022_r7_brands_hatch,GB3 2022 Round 7 - Brands Hatch,series_gb3,GB3 Championship,2022,race,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1098,event_gb3_2022_r7_brands_hatch,GB3 2022 Round 7 - Brands Hatch,series_gb3,GB3 Championship,2022,race,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1099,event_gb3_2022_r7_brands_hatch,GB3 2022 Round 7 - Brands Hatch,series_gb3,GB3 Championship,2022,race,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1103,event_gb3_2022_r8_donington_park,GB3 2022 Round 8 - Donington Park,series_gb3,GB3 Championship,2022,race,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1104,event_gb3_2022_r8_donington_park,GB3 2022 Round 8 - Donington Park,series_gb3,GB3 Championship,2022,race,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1105,event_gb3_2022_r8_donington_park,GB3 2022 Round 8 - Donington Park,series_gb3,GB3 Championship,2022,race,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1108,event_gb3_2022_r1_oulton_park,GB3 2022 Round 1 - Oulton Park,series_gb3,GB3 Championship,2022,practice,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1109,event_gb3_2022_r1_oulton_park,GB3 2022 Round 1 - Oulton Park,series_gb3,GB3 Championship,2022,practice,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1110,event_gb3_2022_r1_oulton_park,GB3 2022 Round 1 - Oulton Park,series_gb3,GB3 Championship,2022,practice,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1111,event_gb3_2022_r1_oulton_park,GB3 2022 Round 1 - Oulton Park,series_gb3,GB3 Championship,2022,practice,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1112,event_gb3_2022_r1_oulton_park,GB3 2022 Round 1 - Oulton Park,series_gb3,GB3 Championship,2022,practice,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1113,event_gb3_2022_r1_oulton_park,GB3 2022 Round 1 - Oulton Park,series_gb3,GB3 Championship,2022,qualifying,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1187,event_gb3_2022_r2_silverstone,GB3 2022 Round 2 - Silverstone,series_gb3,GB3 Championship,2022,practice,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1188,event_gb3_2022_r2_silverstone,GB3 2022 Round 2 - Silverstone,series_gb3,GB3 Championship,2022,practice,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1189,event_gb3_2022_r2_silverstone,GB3 2022 Round 2 - Silverstone,series_gb3,GB3 Championship,2022,practice,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1191,event_gb3_2022_r2_silverstone,GB3 2022 Round 2 - Silverstone,series_gb3,GB3 Championship,2022,practice,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1193,event_gb3_2022_r2_silverstone,GB3 2022 Round 2 - Silverstone,series_gb3,GB3 Championship,2022,practice,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1194,event_gb3_2022_r2_silverstone,GB3 2022 Round 2 - Silverstone,series_gb3,GB3 Championship,2022,practice,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1195,event_gb3_2022_r2_silverstone,GB3 2022 Round 2 - Silverstone,series_gb3,GB3 Championship,2022,practice,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1196,event_gb3_2022_r2_silverstone,GB3 2022 Round 2 - Silverstone,series_gb3,GB3 Championship,2022,qualifying,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1243,event_gb3_2022_r3_donington_park,GB3 2022 Round 3 - Donington Park,series_gb3,GB3 Championship,2022,qualifying,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1244,event_gb3_2022_r3_donington_park,GB3 2022 Round 3 - Donington Park,series_gb3,GB3 Championship,2022,practice,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1245,event_gb3_2022_r3_donington_park,GB3 2022 Round 3 - Donington Park,series_gb3,GB3 Championship,2022,practice,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1246,event_gb3_2022_r3_donington_park,GB3 2022 Round 3 - Donington Park,series_gb3,GB3 Championship,2022,practice,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1247,event_gb3_2022_r3_donington_park,GB3 2022 Round 3 - Donington Park,series_gb3,GB3 Championship,2022,practice,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1249,event_gb3_2022_r3_donington_park,GB3 2022 Round 3 - Donington Park,series_gb3,GB3 Championship,2022,practice,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1257,event_gb3_2022_r3_donington_park,GB3 2022 Round 3 - Donington Park,series_gb3,GB3 Championship,2022,race,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1293,event_gb3_2022_r4_snetterton,GB3 2022 Round 4 - Snetterton,series_gb3,GB3 Championship,2022,practice,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1294,event_gb3_2022_r4_snetterton,GB3 2022 Round 4 - Snetterton,series_gb3,GB3 Championship,2022,practice,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1295,event_gb3_2022_r4_snetterton,GB3 2022 Round 4 - Snetterton,series_gb3,GB3 Championship,2022,practice,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1296,event_gb3_2022_r4_snetterton,GB3 2022 Round 4 - Snetterton,series_gb3,GB3 Championship,2022,practice,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1297,event_gb3_2022_r4_snetterton,GB3 2022 Round 4 - Snetterton,series_gb3,GB3 Championship,2022,practice,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
session_gb3_2022_1298,event_gb3_2022_r4_snetterton,GB3 2022 Round 4 - Snetterton,series_gb3,GB3 Championship,2022,qualifying,1,0,0,0,0,1,0,,,,media_narrative_context:1,d4d96f43d7e734ba26b0bdefe7d2d3e6ec0096e36dc05af4008d5fc7acfe69fd
