sessionId,raceLabel,lapNumber,position,flagState,provenanceRefs
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,27,19,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,28,19,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,29,19,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,30,19,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,31,19,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,32,19,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,33,19,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,34,19,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6325,2024 Indianapolis Grand Prix Race 2 R2,35,19,,source_indy_nxt_2024_6325_lap_chart_pdf
session_indy_nxt_2024_6326,2024 Detroit Grand Prix,1,11,,source_indy_nxt_2024_6326_lap_chart_pdf
session_indy_nxt_2024_6326,2024 Detroit Grand Prix,2,11,,source_indy_nxt_2024_6326_lap_chart_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,1,6,,source_indy_nxt_2024_6316_lap_chart_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,2,6,,source_indy_nxt_2024_6316_lap_chart_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,3,6,,source_indy_nxt_2024_6316_lap_chart_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,4,6,,source_indy_nxt_2024_6316_lap_chart_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,5,6,,source_indy_nxt_2024_6316_lap_chart_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,6,5,,source_indy_nxt_2024_6316_lap_chart_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,7,5,,source_indy_nxt_2024_6316_lap_chart_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,8,5,,source_indy_nxt_2024_6316_lap_chart_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,9,6,,source_indy_nxt_2024_6316_lap_chart_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,10,6,,source_indy_nxt_2024_6316_lap_chart_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,11,6,,source_indy_nxt_2024_6316_lap_chart_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,12,7,,source_indy_nxt_2024_6316_lap_chart_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,13,7,,source_indy_nxt_2024_6316_lap_chart_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,14,7,,source_indy_nxt_2024_6316_lap_chart_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,15,7,,source_indy_nxt_2024_6316_lap_chart_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,16,7,,source_indy_nxt_2024_6316_lap_chart_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,17,7,,source_indy_nxt_2024_6316_lap_chart_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,18,6,,source_indy_nxt_2024_6316_lap_chart_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,19,9,,source_indy_nxt_2024_6316_lap_chart_pdf
session_indy_nxt_2024_6316,2024 Grand Prix at Road America,20,8,,source_indy_nxt_2024_6316_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,1,8,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,2,8,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,3,8,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,4,8,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,5,8,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,6,7,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,7,7,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,8,7,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,9,7,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,10,7,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,11,7,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,12,7,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,13,7,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,14,7,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,15,7,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,16,7,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,17,7,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,18,7,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,19,7,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,20,18,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,21,18,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,22,18,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,23,18,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,24,18,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,25,18,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,26,18,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,27,18,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,28,18,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,29,17,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,30,17,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,31,17,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,32,17,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,33,16,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6317,2024 Grand Prix of Monterey Race 1 R1,34,16,,source_indy_nxt_2024_6317_lap_chart_pdf
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,1,5,,source_indy_nxt_2024_6327_lap_chart_pdf
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,2,5,,source_indy_nxt_2024_6327_lap_chart_pdf
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,3,5,,source_indy_nxt_2024_6327_lap_chart_pdf
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,4,5,,source_indy_nxt_2024_6327_lap_chart_pdf
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,5,5,,source_indy_nxt_2024_6327_lap_chart_pdf
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,6,5,,source_indy_nxt_2024_6327_lap_chart_pdf
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,7,5,,source_indy_nxt_2024_6327_lap_chart_pdf
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,8,5,,source_indy_nxt_2024_6327_lap_chart_pdf
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,9,5,,source_indy_nxt_2024_6327_lap_chart_pdf
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,10,5,,source_indy_nxt_2024_6327_lap_chart_pdf
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,11,5,,source_indy_nxt_2024_6327_lap_chart_pdf
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,12,5,,source_indy_nxt_2024_6327_lap_chart_pdf
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,13,5,,source_indy_nxt_2024_6327_lap_chart_pdf
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,14,5,,source_indy_nxt_2024_6327_lap_chart_pdf
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,15,5,,source_indy_nxt_2024_6327_lap_chart_pdf
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,16,5,,source_indy_nxt_2024_6327_lap_chart_pdf
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,17,5,,source_indy_nxt_2024_6327_lap_chart_pdf
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,18,5,,source_indy_nxt_2024_6327_lap_chart_pdf
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,19,5,,source_indy_nxt_2024_6327_lap_chart_pdf
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,20,5,,source_indy_nxt_2024_6327_lap_chart_pdf
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,21,5,,source_indy_nxt_2024_6327_lap_chart_pdf
session_indy_nxt_2024_6327,2024 Grand Prix of Monterey Race 2 R2,22,5,,source_indy_nxt_2024_6327_lap_chart_pdf
