raceSessionId,qualiSessionId,seriesId,seriesName,seasonYear,roundIndex,eventName,raceLabel,raceNumber,sourceFamily,sourceTable,qualiRank,qualiFieldSize,grid,start,finish,raceFieldSize,linkageTier,conversionOutcome,qualiToFinish,gridToFinish,sourceHash
session_indy_nxt_2025_6454,session_indy_nxt_2025_6599,series_indy_nxt,INDY NXT,2025,6,INDY NXT by Firestone at World Wide Technology Raceway,Race,,official_qualifying,qualifyingResults,16,19,16,16,14,19,grid_confirmed,ahead,2,2,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2025_6453,session_indy_nxt_2025_6598,series_indy_nxt,INDY NXT,2025,7,Grand Prix at Road America,Race,,official_qualifying,qualifyingResults,10,19,10,10,9,19,grid_confirmed,ahead,1,1,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2025_6452,session_indy_nxt_2025_6597,series_indy_nxt,INDY NXT,2025,8,Grand Prix at Mid-Ohio,Race,,official_qualifying,qualifyingResults,7,19,7,7,12,19,grid_confirmed,behind,-5,-5,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2025_6442,session_indy_nxt_2025_6589,series_indy_nxt,INDY NXT,2025,10,Grand Prix of Monterey Race 1,Race,1,official_qualifying,qualifyingResults,14,19,14,14,10,19,grid_confirmed,ahead,4,4,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2025_6450,session_indy_nxt_2025_6595,series_indy_nxt,INDY NXT,2025,11,Grand Prix of Monterey Race 2,Race,2,official_qualifying,qualifyingResults,12,19,12,12,19,19,grid_confirmed,behind,-7,-7,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2025_6449,session_indy_nxt_2025_6594,series_indy_nxt,INDY NXT,2025,12,Grand Prix of Portland,Race,,official_qualifying,qualifyingResults,5,19,5,5,19,19,grid_confirmed,behind,-14,-14,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2025_6448,session_indy_nxt_2025_6588,series_indy_nxt,INDY NXT,2025,13,INDY NXT by Firestone at the Milwaukee Mile,Race,,official_qualifying,qualifyingResults,6,18,6,6,5,18,grid_confirmed,ahead,1,1,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2025_6447,session_indy_nxt_2025_6593,series_indy_nxt,INDY NXT,2025,14,Music City Grand Prix,Race,,official_qualifying,qualifyingResults,8,18,8,8,6,18,grid_confirmed,ahead,2,2,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2026_6751,session_indy_nxt_2026_6770,series_indy_nxt,INDY NXT,2026,1,Grand Prix of St. Petersburg,Race,,official_qualifying,qualifyingResults,19,24,19,19,18,24,grid_confirmed,ahead,1,1,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
session_indy_nxt_2026_6753,session_indy_nxt_2026_6787,series_indy_nxt,INDY NXT,2026,2,Grand Prix of Arlington,Race,,official_qualifying,qualifyingResults,23,24,23,23,18,24,grid_confirmed,ahead,5,5,64c2452b244d1c2ecb1db01df0735b1a0f631db0d4e74397ed7fa3a89b845978
